folio_ageb,entidad,alcaldia,localidad,pob,tot_pobres,IDSM,E_IDS_V
9.01204E+11,9,12,419,1,1,0.5829585,Muy bajo
9.01204E+11,9,12,414,3,3,0.5850821,Muy bajo
9.00903E+11,9,9,345,46,46,0.5866597,Muy bajo
9.01204E+11,9,12,381,126,125,0.5869251,Muy bajo
9.00901E+11,9,9,99,15,15,0.5870433,Muy bajo
9.01303E+11,9,13,283,46,44,0.5872537,Muy bajo
9.01204E+11,9,12,438,19,19,0.5874959,Muy bajo
9.01302E+11,9,13,178,175,172,0.5880115,Muy bajo
9.01101E+11,9,11,126,69,69,0.588947,Muy bajo
9.01102E+11,9,11,155,30,30,0.5907972,Muy bajo
9.01203E+11,9,12,296,69,67,0.5908302,Muy bajo
9.01202E+11,9,12,162,103,103,0.5910467,Muy bajo
9.01303E+11,9,13,292,21,21,0.5911273,Muy bajo
9.00903E+11,9,9,341,20,20,0.5920997,Muy bajo
9.01303E+11,9,13,267,225,221,0.5925686,Muy bajo
9.00801E+11,9,8,100,5,5,0.5940598,Muy bajo
9.00902E+11,9,9,236,10,10,0.5944359,Muy bajo
9.01204E+11,9,12,423,24,24,0.5947573,Muy bajo
9.01302E+11,9,13,165,18,18,0.5952117,Muy bajo
9.00901E+11,9,9,95,225,214,0.5964143,Muy bajo
9.00903E+11,9,9,291,21,21,0.5965063,Muy bajo
9.00901E+11,9,9,100,3,3,0.5970292,Muy bajo
9.01204E+11,9,12,436,141,140,0.5972552,Muy bajo
9.01204E+11,9,12,404,1,1,0.5979835,Muy bajo
9.01303E+11,9,13,291,74,74,0.5988746,Muy bajo
9.01202E+11,9,12,159,92,92,0.5994165,Muy bajo
9.01301E+11,9,13,139,91,85,0.6011339,Muy bajo
9.01204E+11,9,12,435,1,1,0.6019275,Muy bajo
9.00904E+11,9,9,391,31,29,0.6027889,Muy bajo
9.01204E+11,9,12,427,69,69,0.6027945,Muy bajo
9.01102E+11,9,11,150,26,25,0.6039462,Muy bajo
9.00901E+11,9,9,101,40,40,0.6046357,Muy bajo
9.01302E+11,9,13,197,21,21,0.6055075,Muy bajo
